no.of digits karatsubabruteforce
450 3048 2415
451 2285 1775
452 2395 1828
453 2042 1642
454 2202 1649
455 1923 1565
456 1819 1602
457 1805 3298
458 2284 1693
459 2018 1618
460 1824 1603
461 1982 3413
462 3974 1979
463 1984 1791
464 1858 1616
465 3606 3285
466 1908 1643
467 1862 1706
468 1797 1653
469 1813 1677
470 1840 1898
471 1995 1747
472 1836 1695
473 2025 1680
474 1903 1873
475 2824 2484
476 2187 2179
477 2612 3270
478 2016 1713
479 1921 2015
480 3865 2315
481 2979 1955
482 2010 1742
483 1910 2564
484 3334 1991
485 2002 1779
486 2060 1773
487 1964 2141
488 2034 1967
489 2032 1801
490 1961 1809
491 2183 2032
492 1978 1826
493 2028 1931
494 1968 1842
495 2044 1866
496 2292 2002
497 2322 1946
498 2237 1964
499 1968 1896
500 2174 1905
